2016-05-05 18:08:53,545 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 18:08:53,577 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 18:08:53,623 | INFO  | Recovery replayed 699 operations from the journal in 0.062 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 18:08:53,764 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-59399-1462442933639-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-05-05 18:08:53,873 | INFO  | Listening for connections at: tcp://luomm-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 18:08:53,889 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 18:08:53,889 | INFO  | Listening for connections at: amqp://luomm-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 18:08:53,904 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 18:08:53,904 | INFO  | Listening for connections at: stomp://luomm-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 18:08:53,904 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 18:08:53,920 | INFO  | Listening for connections at: mqtt://luomm-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 18:08:53,920 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 18:08:54,046 | INFO  | Listening for connections at ws://luomm-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-05-05 18:08:54,046 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 18:08:54,046 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-59399-1462442933639-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-05-05 18:08:54,046 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-05-05 18:08:54,061 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\kahadb only has 50433 mb of usable space - resetting to maximum available disk space: 50434 mb | org.apache.activemq.broker.BrokerService | main
2016-05-05 18:08:54,061 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage only has 50433 mb of usable space - resetting to maximum available 50433 mb. | org.apache.activemq.broker.BrokerService | main
2016-05-05 18:08:54,529 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-05-05 18:08:54,576 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-05-05 18:08:54,935 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2016-05-05 18:11:40,226 | WARN  | Transport Connection to: tcp://127.0.0.1:59433 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:59433@61616
2016-05-05 21:16:17,622 | WARN  | Transport Connection to: tcp://127.0.0.1:61643 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61643@61616
2016-05-05 21:18:59,523 | WARN  | Transport Connection to: tcp://127.0.0.1:61706 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61706@61616
2016-05-05 21:20:42,737 | WARN  | Transport Connection to: tcp://127.0.0.1:61765 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61765@61616
2016-05-05 21:28:54,445 | WARN  | Transport Connection to: tcp://127.0.0.1:61806 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61806@61616
2016-05-05 21:35:20,011 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@493cd5ba: startup date [Thu May 05 21:35:20 CST 2016]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2016-05-05 21:35:21,716 | INFO  | PListStore:[E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2016-05-05 21:35:21,762 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:22,532 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 21:35:22,590 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 21:35:22,602 | INFO  | Recovery replayed 174 operations from the journal in 0.057 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2016-05-05 21:35:22,796 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-61931-1462455322638-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:22,895 | INFO  | Listening for connections at: tcp://luomm-PC:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 21:35:22,900 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 21:35:22,910 | INFO  | Listening for connections at: amqp://luomm-PC:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 21:35:22,915 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 21:35:22,923 | INFO  | Listening for connections at: stomp://luomm-PC:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 21:35:22,927 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 21:35:22,937 | INFO  | Listening for connections at: mqtt://luomm-PC:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2016-05-05 21:35:22,941 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 21:35:23,076 | INFO  | Listening for connections at ws://luomm-PC:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2016-05-05 21:35:23,077 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2016-05-05 21:35:23,081 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-61931-1462455322638-0:1) started | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:23,085 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:23,097 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\kahadb only has 50497 mb of usable space - resetting to maximum available disk space: 50497 mb | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:23,140 | WARN  | Temporary Store limit is 51200 mb, whilst the temporary data directory: E:\develop_resource\MQ\apache-activemq-5.11.1\bin\..\data\localhost\tmp_storage only has 50497 mb of usable space - resetting to maximum available 50497 mb. | org.apache.activemq.broker.BrokerService | main
2016-05-05 21:35:24,170 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2016-05-05 21:35:24,269 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2016-05-05 21:35:24,936 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2016-05-05 21:37:25,514 | WARN  | Transport Connection to: tcp://127.0.0.1:61967 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61967@61616
2016-05-05 21:40:54,871 | WARN  | Transport Connection to: tcp://127.0.0.1:62025 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62025@61616
2016-05-05 21:42:53,526 | WARN  | Transport Connection to: tcp://127.0.0.1:62090 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62090@61616
2016-05-06 11:08:43,856 | WARN  | Transport Connection to: tcp://127.0.0.1:62139 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62139@61616
2016-05-06 13:46:33,990 | INFO  | Apache ActiveMQ 5.11.1 (localhost, ID:luomm-PC-61931-1462455322638-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2016-05-06 13:46:33,995 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
